BenchMark::doResolutionInterview(AutoRef<DFCPrimaryWindow>,bool)	.text	00401000	00001477	00000060	0000000C	R	.	.	.	.	B	.	.
_reg_gc_class_BehaviorDesc::_reg_gc_class_BehaviorDesc(void)	.text	004C9E70	00000192	0000002C	00000004	R	.	.	.	.	B	T	.
BehaviorDesc::getClass(void)	.text	004C9FD0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
PropertyHenchmenBehaviorDescRotateRate::getDeclaringClass(void)	.text	004C9FE0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
HenchmenBehavior::getClass(void)	.text	004C9FF0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
createHenchmenBehaviorDesc(void)	.text	004CA000	000000A0	0000001C	00000000	R	.	.	.	.	B	T	.
_register_class_HenchmenBehaviorDesc::_register_class_HenchmenBehaviorDesc(void)	.text	004CA090	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_reg_gc_class_HenchmenBehaviorDesc::_reg_gc_class_HenchmenBehaviorDesc(void)	.text	004CA1D0	000001AF	0000002C	00000004	R	.	.	.	.	B	T	.
PropertyHenchmenBehaviorDescRotatingTurret::PropertyHenchmenBehaviorDescRotatingTurret(void)	.text	004CA340	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyHenchmenBehaviorDescRotatingTurret::getName(void)	.text	004CA450	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyHenchmenBehaviorDescRotateRate::PropertyHenchmenBehaviorDescRotateRate(void)	.text	004CA490	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyHenchmenBehaviorDescRotateRate::getName(void)	.text	004CA5A0	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyHenchmenBehaviorDescAttackType::PropertyHenchmenBehaviorDescAttackType(String const &)	.text	004CA5E0	00000163	00000028	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescLogicType::setValue(DFCObject *,int)	.text	004CA720	00000013	00000004	00000008	R	.	.	.	.	B	T	.
PropertyHenchmenBehaviorDescAttackType::asInt(DFCObject *)	.text	004CA740	00000011	00000004	00000004	R	.	.	.	.	B	T	.
PropertyHenchmenBehaviorDescAttackStyle::PropertyHenchmenBehaviorDescAttackStyle(String const &)	.text	004CA760	00000163	00000028	00000004	R	.	.	.	.	B	T	.
PropertyHenchmenBehaviorDescAttackStyle::setValue(DFCObject *,int)	.text	004CA8A0	00000013	00000004	00000008	R	.	.	.	.	B	T	.
PropertyHenchmenBehaviorDescAttackStyle::asInt(DFCObject *)	.text	004CA8C0	00000011	00000004	00000004	R	.	.	.	.	B	T	.
createHenchmenBehavior(void)	.text	004CA8E0	000000A0	0000001C	00000000	R	.	.	.	.	B	T	.
_register_class_HenchmenBehavior::_register_class_HenchmenBehavior(void)	.text	004CA970	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_reg_gc_class_HenchmenBehavior::_reg_gc_class_HenchmenBehavior(void)	.text	004CAAB0	000001B0	0000002C	00000004	R	.	.	.	.	B	T	.
HenchmenBehavior::`scalar deleting destructor'(uint)	.text	004CAC20	00000023	00000008	00000001	R	.	.	.	.	B	T	.
UnitBehavior::~UnitBehavior(void)	.text	004CAC50	0000009A	00000018	00000004	R	.	.	.	.	B	T	.
HenchmenBehavior::~HenchmenBehavior(void)	.text	004CACE0	00000007	00000000	00000000	R	.	.	.	.	.	T	.
HenchmenBehavior::doEvent(AutoRef<DFCEvent>)	.text	004CACF0	00000083	00000018	00000004	R	.	.	.	.	B	.	.
HenchmenBehavior::update(void)	.text	004CAD70	000000B2	00000010	00000000	R	.	.	.	.	B	T	.
HenchmenBehavior::initState(uchar)	.text	004CAE30	00000239	0000001C	00000001	R	.	.	.	.	B	T	.
HenchmenBehavior::updateState(uchar)	.text	004CB080	000000E9	00000000	00000000	R	.	.	.	.	.	T	.
HenchmenBehavior::processReset(void)	.text	004CB190	00000005	00000000	00000000	R	.	.	.	.	.	T	.
HenchmenBehavior::processRemoved(void)	.text	004CB1A0	0000000C	00000000	00000000	R	.	.	.	.	.	T	.
HenchmenBehavior::writeInit(DFCMessage *)	.text	004CB1B0	00000092	0000000C	00000004	R	.	.	.	.	B	T	.
HenchmenBehavior::readInit(DFCMessage *)	.text	004CB250	000000A8	00000010	00000004	R	.	.	.	.	B	T	.
HenchmenBehavior::getHenchmenBehaviorDesc(void)	.text	004CB300	00000021	00000004	00000000	R	.	.	.	.	.	T	.
IsKindOf<HenchmenBehaviorDesc,GCObjectDesc>(GCObjectDesc *)	.text	004CB330	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
StateMachine::IsInScope(StateMachineMessage *)	.text	004CB370	00000019	00000000	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::getClass(void)	.text	004CB390	00000006	00000000	00000000	R	.	.	.	.	.	T	.
createMonsterBehavior2(void)	.text	004CB3A0	0000006D	00000014	00000000	R	.	.	.	.	B	T	.
_register_class_MonsterBehavior2::_register_class_MonsterBehavior2(void)	.text	004CB400	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_reg_gc_class_MonsterBehavior2::_reg_gc_class_MonsterBehavior2(void)	.text	004CB540	00000183	0000002C	00000004	R	.	.	.	.	B	T	.
MonsterBehavior2::MonsterBehavior2(void)	.text	004CB690	00000123	00000014	00000004	R	.	.	.	.	B	T	.
MonsterBehavior2::`vector deleting destructor'(uint)	.text	004CB780	00000021	00000008	00000001	R	.	.	.	.	B	T	.
MonsterBehavior2::~MonsterBehavior2(void)	.text	004CB7B0	000000D7	00000008	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::update(void)	.text	004CB890	00000127	00000004	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::OnLost(void)	.text	004CB9C0	00000018	00000000	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::OnStopMoving(void)	.text	004CB9E0	0000001E	00000000	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::onIdle(void)	.text	004CBA00	00000018	00000000	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::onSpawned(void)	.text	004CBA20	00000057	00000004	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::onAttacked(Unit *)	.text	004CBA80	0000003E	00000010	00000004	R	.	.	.	.	B	T	.
MonsterBehavior2::onDied(void)	.text	004CBAC0	00000016	00000000	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::onAlert(Unit *)	.text	004CBAE0	00000047	00000004	00000004	R	.	.	.	.	B	T	.
MonsterBehavior2::onDeathWarning(void)	.text	004CBB30	00000018	00000000	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::writeInit(DFCMessage *)	.text	004CBB50	00000127	00000010	00000004	R	.	.	.	.	B	T	.
MonsterBehavior2::readInit(DFCMessage *)	.text	004CBC80	00000219	00000020	00000004	R	.	.	.	.	B	T	.
MonsterBehavior2::processRemoved(void)	.text	004CBEA0	00000038	0000000C	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::States(StateMachineEvent,StateMachineMessage *,ushort)	.text	004CBEE0	00000A61	00000024	0000000C	R	.	.	.	.	B	T	.
MonsterBehavior2::ClearTargets(void)	.text	004CC920	0000002F	0000000C	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::AreEnemiesNearby(void)	.text	004CC950	00000044	00000010	00000000	R	.	.	.	.	B	T	.
MonsterBehavior2::UpdateDespawn(void)	.text	004CC9A0	00000051	00000004	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::UpdateTargets(void)	.text	004CCA00	000001F4	0000003C	00000000	R	.	.	.	.	B	T	.
MonsterBehavior2::UpdateSkills(void)	.text	004CCC00	00000610	0000007C	00000000	R	.	.	.	.	B	T	.
MonsterBehavior2::UpdateMorale(void)	.text	004CD210	0000006A	00000014	00000000	R	.	.	.	.	B	T	.
MonsterBehavior2::UpdateCachedVariables(void)	.text	004CD280	00000076	0000000C	00000000	R	.	.	.	.	.	T	.
MonsterBehavior2::BuildSkillLists(void)	.text	004CD300	00000151	0000000C	00000004	R	.	.	.	.	B	T	.
MonsterBehavior2::DoIdleAction(void)	.text	004CD460	000000B3	00000018	00000000	R	.	.	.	.	B	T	.
MonsterBehavior2::DoAttackAction(void)	.text	004CD500	0000017C	00000018	00000000	R	.	.	.	.	B	T	.
MonsterBehavior2::DoFleeAction(void)	.text	004CD660	000000A8	00000020	00000000	R	.	.	.	.	B	T	.
MonsterBehavior2::DoRetreatAction(void)	.text	004CD700	000000B3	0000001C	00000000	R	.	.	.	.	B	T	.
MonsterBehavior2::DoManeuverAction(void)	.text	004CD7A0	000000A0	00000018	00000000	R	.	.	.	.	B	T	.
MonsterBehavior2::DoAssistAction(void)	.text	004CD830	00000095	0000000C	00000000	R	.	.	.	.	.	T	.
Watcher<Unit,DefaultWatchableValidator<Unit>>::operator=(Watcher<Unit,DefaultWatchableValidator<Unit>> const &)	.text	004CD8D0	0000003D	0000000C	00000000	R	.	.	.	.	.	T	.
IsKindOf<MonsterBehavior2Desc,GCObjectDesc>(GCObjectDesc *)	.text	004CD910	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
IsKindOf<MonsterBehavior2,UnitBehavior>(UnitBehavior *)	.text	004CD950	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
MonsterBehavior2Desc::getClass(void)	.text	004CD990	00000006	00000000	00000000	R	.	.	.	.	.	T	.
createMonsterBehavior2Desc(void)	.text	004CD9A0	00000070	00000014	00000000	R	.	.	.	.	B	T	.
_register_class_MonsterBehavior2Desc::_register_class_MonsterBehavior2Desc(void)	.text	004CDA00	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_reg_gc_class_MonsterBehavior2Desc::_reg_gc_class_MonsterBehavior2Desc(void)	.text	004CDB40	00000183	0000002C	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescAttackType::PropertyMonsterBehavior2DescAttackType(String const &)	.text	004CDC90	00000163	00000028	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehaviorDescAttackStyle::asInt(DFCObject *)	.text	004CDDD0	00000011	00000004	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescIdleAction::PropertyMonsterBehavior2DescIdleAction(String const &)	.text	004CDDF0	00000163	00000028	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehaviorDescAttackType::asInt(DFCObject *)	.text	004CDF30	00000011	00000004	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescLogicType::PropertyMonsterBehavior2DescLogicType(String const &)	.text	004CDF50	00000163	00000028	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescLogicType::getName(void)	.text	004CE090	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescAgroRange::PropertyMonsterBehavior2DescAgroRange(void)	.text	004CE0D0	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescAgroRange::asInt(DFCObject *)	.text	004CE1E0	00000011	00000004	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescAgroRange::getName(void)	.text	004CE200	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescShoutRange::PropertyMonsterBehavior2DescShoutRange(void)	.text	004CE240	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescShoutRange::setValue(DFCObject *,int)	.text	004CE350	00000015	00000004	00000008	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescShoutRange::asInt(DFCObject *)	.text	004CE370	00000011	00000004	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescShoutRange::getName(void)	.text	004CE390	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescWanderRange::PropertyMonsterBehavior2DescWanderRange(void)	.text	004CE3D0	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescWanderRange::setValue(DFCObject *,int)	.text	004CE4E0	00000015	00000004	00000008	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescWanderRange::asInt(DFCObject *)	.text	004CE500	00000011	00000004	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescWanderRange::getName(void)	.text	004CE520	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescTeleportFrequency::PropertyMonsterBehavior2DescTeleportFrequency(void)	.text	004CE560	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescTeleportFrequency::setValue(DFCObject *,int)	.text	004CE670	00000015	00000004	00000008	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescTeleportFrequency::asInt(DFCObject *)	.text	004CE690	00000011	00000004	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescTeleportFrequency::getName(void)	.text	004CE6B0	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescTeleportLimboTime::PropertyMonsterBehavior2DescTeleportLimboTime(void)	.text	004CE6F0	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescTeleportLimboTime::setValue(DFCObject *,int)	.text	004CE800	00000015	00000004	00000008	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescTeleportLimboTime::asInt(DFCObject *)	.text	004CE820	00000011	00000004	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehavior2DescTeleportLimboTime::getName(void)	.text	004CE840	00000031	00000010	00000004	R	.	.	.	.	B	T	.
MonsterBehavior2Desc::MonsterBehavior2Desc(void)	.text	004CE880	0000006D	00000000	00000000	R	.	.	.	.	.	T	.
PropertyMonsterBehaviorDescAttackStyle::getDeclaringClass(void)	.text	004CE8F0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
createMonsterBehaviorDesc(void)	.text	004CE900	00000095	00000018	00000000	R	.	.	.	.	B	T	.
_register_class_MonsterBehaviorDesc::_register_class_MonsterBehaviorDesc(void)	.text	004CE980	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_reg_gc_class_MonsterBehaviorDesc::_reg_gc_class_MonsterBehaviorDesc(void)	.text	004CEAC0	000001A4	0000002C	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehaviorDescAttackType::PropertyMonsterBehaviorDescAttackType(String const &)	.text	004CEC30	00000163	00000028	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehaviorDescAttackType::setValue(DFCObject *,int)	.text	004CED70	00000013	00000004	00000008	R	.	.	.	.	B	T	.
PropertyProcConditionAttackType::getName(void)	.text	004CED90	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehaviorDescAttackStyle::PropertyMonsterBehaviorDescAttackStyle(String const &)	.text	004CEDD0	00000163	00000028	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehaviorDescAttackStyle::setValue(DFCObject *,int)	.text	004CEF10	00000013	00000004	00000008	R	.	.	.	.	B	T	.
PropertyHenchmenBehaviorDescAttackStyle::getName(void)	.text	004CEF30	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehaviorDescIdleAction::PropertyMonsterBehaviorDescIdleAction(String const &)	.text	004CEF70	00000163	00000028	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehaviorDescIdleAction::setValue(DFCObject *,int)	.text	004CF0B0	00000013	00000004	00000008	R	.	.	.	.	B	T	.
PropertyMonsterBehaviorDescIdleAction::asInt(DFCObject *)	.text	004CF0D0	00000011	00000004	00000004	R	.	.	.	.	B	T	.
PropertyMonsterBehaviorDescIdleAction::getName(void)	.text	004CF0F0	00000031	00000010	00000004	R	.	.	.	.	B	T	.
UnitAction::getClass(void)	.text	004CF130	00000006	00000000	00000000	R	.	.	.	.	.	T	.
createUnitAction(void)	.text	004CF140	00000084	00000018	00000000	R	.	.	.	.	B	T	.
_register_class_UnitAction::_register_class_UnitAction(void)	.text	004CF1B0	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_reg_gc_class_UnitAction::_reg_gc_class_UnitAction(void)	.text	004CF2F0	0000019D	0000002C	00000004	R	.	.	.	.	B	T	.
UnitAction::getUnitBehavior(void)	.text	004CF450	00000045	00000004	00000000	R	.	.	.	.	.	T	.
createUnitBehavior(void)	.text	004CF4A0	0000006D	00000014	00000000	R	.	.	.	.	B	T	.
_register_class_UnitBehavior::_register_class_UnitBehavior(void)	.text	004CF500	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_reg_gc_class_UnitBehavior::_reg_gc_class_UnitBehavior(void)	.text	004CF640	00000183	0000002C	00000004	R	.	.	.	.	B	T	.
PathManager::PathRequest::`scalar deleting destructor'(uint)	.text	004CF790	00000023	00000008	00000001	R	.	.	.	.	B	T	.
UnitBehavior::UnitBehavior(void)	.text	004CF7C0	000001B4	0000001C	00000004	R	.	.	.	.	B	T	.
UnitBehavior::`vector deleting destructor'(uint)	.text	004CF960	00000022	00000008	00000001	R	.	.	.	.	B	T	.
UnitBehavior::doEvent(AutoRef<DFCEvent>)	.text	004CF990	00000117	0000001C	00000004	R	.	.	.	.	B	.	.
UnitBehavior::update(void)	.text	004CFAA0	000000F7	00000024	00000000	R	.	.	.	.	B	T	.
UnitBehavior::terminateAllActionsLocal(void)	.text	004CFB90	00000010	00000004	00000000	R	.	.	.	.	.	T	.
UnitBehavior::clientDoAction(AutoRef<Action>)	.text	004CFBA0	00000137	0000001C	00000008	R	.	.	.	.	B	.	.
UnitBehavior::clientMoveToPoint(Fixed32,Fixed32)	.text	004CFCC0	000000F3	00000014	00000008	R	.	.	.	.	B	T	.
UnitBehavior::moveToPoint(Fixed32,Fixed32)	.text	004CFDA0	00000111	0000001C	00000008	R	.	.	.	.	B	.	.
UnitBehavior::clientMoveInDirection(Fixed32)	.text	004CFEC0	000000DA	00000014	00000004	R	.	.	.	.	B	T	.
UnitBehavior::moveInDirection(Fixed32)	.text	004CFF80	000000D5	00000010	00000004	R	.	.	.	.	B	.	.
UnitBehavior::clientTurn(Fixed32)	.text	004D0060	000000DA	00000014	00000004	R	.	.	.	.	B	T	.
UnitBehavior::turn(Fixed32)	.text	004D0120	00000054	00000010	00000004	R	.	.	.	.	B	.	.
UnitBehavior::setHeading(Fixed32)	.text	004D0180	00000087	00000008	00000004	R	.	.	.	.	B	.	.
UnitBehavior::clientStopMoving(void)	.text	004D0210	000000D0	0000001C	00000000	R	.	.	.	.	B	T	.
UnitBehavior::stopMoving(void)	.text	004D02D0	00000095	0000000C	00000000	R	.	.	.	.	.	T	.
UnitBehavior::faceTarget(WorldEntity *,bool)	.text	004D0370	0000002E	00000008	00000000	R	.	.	.	.	.	T	.
UnitBehavior::faceTarget(VectorType const &,bool)	.text	004D03A0	00000024	00000004	00000000	R	.	.	.	.	.	T	.
UnitBehavior::faceTarget(Fixed32,bool)	.text	004D03D0	00000095	0000000C	00000005	R	.	.	.	.	B	.	.
UnitBehavior::stopPathing(void)	.text	004D0470	00000050	00000004	00000000	R	.	.	.	.	.	T	.
UnitBehavior::GetMovementDebugString(void)	.text	004D04C0	0000004F	00000008	00000004	R	.	.	.	.	B	.	.
UnitBehavior::updateSteering(void)	.text	004D0510	000002EE	0000003C	00000004	R	.	.	.	.	B	T	.
UnitBehavior::OnPathRequestComplete(int,Pathfinder *)	.text	004D0800	00000052	00000004	00000008	R	.	.	.	.	B	T	.
UnitBehavior::computeFacingVectors(void)	.text	004D0860	000000E6	00000014	00000000	R	.	.	.	.	B	T	.
UnitBehavior::computeCachedPhysicsData(void)	.text	004D0950	00000276	00000018	00000000	R	.	.	.	.	B	T	.
UnitBehavior::moveUnit(void)	.text	004D0BD0	000001C2	00000034	00000004	R	.	.	.	.	B	T	.
UnitBehavior::ResolveMovement(VectorType2D const &,VectorType2D const &,VectorType &)	.text	004D0DA0	0000010D	0000002C	00000008	R	.	.	.	.	B	T	.
UnitBehavior::processInited(void)	.text	004D0EB0	00000040	0000000C	00000000	R	.	.	.	.	.	T	.
UnitBehavior::processRemoved(void)	.text	004D0EF0	00000065	00000008	00000000	R	.	.	.	.	.	T	.
UnitBehavior::processReset(void)	.text	004D0F60	00000109	00000030	00000000	R	.	.	.	.	B	T	.
UnitBehavior::hasUpdate(void)	.text	004D1070	00000030	00000000	00000000	R	.	.	.	.	.	T	.
UnitBehavior::writeUpdate(DFCMessage *)	.text	004D10A0	00000262	00000018	00000004	R	.	.	.	.	B	T	.
UnitBehavior::readUpdate(DFCMessage *)	.text	004D1310	000001E5	00000034	00000004	R	.	.	.	.	B	T	.
UnitBehavior::writeInit(DFCMessage *)	.text	004D14F0	00000262	0000001C	00000004	R	.	.	.	.	B	T	.
UnitBehavior::readInit(DFCMessage *)	.text	004D1760	00000250	00000024	00000004	R	.	.	.	.	B	T	.
UnitBehavior::processRequest(uchar,DFCMessage *,int)	.text	004D19B0	000001FA	00000028	0000000C	R	.	.	.	.	B	T	.
UnitBehavior::getUnitBehaviorDesc(void)	.text	004D1BB0	00000021	00000004	00000000	R	.	.	.	.	.	T	.
UnitBehavior::getClosestEnemy(int,bool)	.text	004D1BE0	00000047	00000010	00000004	R	.	.	.	.	B	T	.
std::vector<Interpolator<float,LinearInterpolator<float>>::Key,std::allocator<Interpolator<float,LinearInterpolator<float>>::Key>>::reserve(uint)	.text	004D1C30	000000D4	00000028	00000000	R	.	.	.	.	B	.	.
std::vector<VectorType2D>::size(void)	.text	004D1D00	00000013	00000000	00000000	R	.	.	.	.	.	.	.
std::vector<VectorType2D>::empty(void)	.text	004D1D20	00000023	00000000	00000000	R	.	.	.	.	.	.	.
std::vector<VectorType2D>::at(uint)	.text	004D1D50	0000001C	00000000	00000000	R	.	.	.	.	.	.	.
std::vector<VectorType2D>::pop_back(void)	.text	004D1D70	00000026	00000008	00000000	R	.	.	.	.	B	.	.
std::vector<ServerEventManager::RemoteSubscriber>::insert(std::vector<ServerEventManager::RemoteSubscriber>::iterator,ServerEventManager::RemoteSubscriber const &)	.text	004D1DA0	00000046	00000008	00000008	R	.	.	.	.	B	.	.
PathManager::RequestPathSync<UnitBehavior>(VectorType const &,VectorType const &,BuildPathSettings const &,UnitBehavior *,void (UnitBehavior::*)(int,Pathfinder *))	.text	004D1DF0	000001F1	00000038	00000014	R	.	.	.	.	B	T	.
PathManager::TPathRequest<UnitBehavior>::TPathRequest<UnitBehavior>(int,Pathfinder *,ulong,UnitBehavior *,void (UnitBehavior::*)(int,Pathfinder *))	.text	004D1FD0	0000005A	00000008	00000010	R	.	.	.	.	B	.	.
PathManager::TPathRequest<UnitBehavior>::OnComplete(void)	.text	004D2030	00000020	00000000	00000000	R	.	.	.	.	.	.	.
PathManager::TPathRequest<UnitBehavior>::`vector deleting destructor'(uint)	.text	004D2050	00000022	00000008	00000001	R	.	.	.	.	B	T	.
PathManager::TPathRequest<UnitBehavior>::~TPathRequest<UnitBehavior>(void)	.text	004D2080	00000087	00000014	00000004	R	.	.	.	.	B	.	.
IsKindOf<Unit,DFCNode>(DFCNode *)	.text	004D2100	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
IsKindOf<UnitBehaviorDesc,GCObjectDesc>(GCObjectDesc *)	.text	004D2140	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
std::_Uninit_fill_n<ServerEventManager::RemoteSubscriber *,uint,ServerEventManager::RemoteSubscriber,std::allocator<ServerEventManager::RemoteSubscriber>>(ServerEventManager::RemoteSubscriber *,uint,ServerEventManager::RemoteSubscriber const &,std::allocator<ServerEventManager::RemoteSubscriber> &,std::_Nonscalar_ptr_iterator_tag)	.text	004D2180	0000001D	00000000	00000000	R	.	.	.	.	.	.	.
std::_Uninit_copy<std::vector<VectorType2D>::iterator,VectorType2D *,std::allocator<VectorType2D>>(std::vector<VectorType2D>::iterator,std::vector<VectorType2D>::iterator,VectorType2D *,std::allocator<VectorType2D> &,std::_Nonscalar_ptr_iterator_tag)	.text	004D21A0	0000002B	00000004	00000008	R	.	.	.	.	B	.	.
UnitBehavior::getClass(void)	.text	004D21D0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
VectorType2D::DotProduct(VectorType2D const &)	.text	004D21E0	00000046	00000010	00000000	R	.	.	.	.	B	.	.
VectorType2D::FromHeading(Fixed32)	.text	004D2230	00000090	00000004	00000004	R	.	.	.	.	B	.	.
VectorType2D::ToHeading(void)	.text	004D22C0	00000153	00000020	00000004	R	.	.	.	.	B	.	.
createUnitBehaviorDesc(void)	.text	004D2420	0000006C	00000014	00000000	R	.	.	.	.	B	T	.
_register_class_UnitBehaviorDesc::_register_class_UnitBehaviorDesc(void)	.text	004D2480	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_reg_gc_class_UnitBehaviorDesc::_reg_gc_class_UnitBehaviorDesc(void)	.text	004D25C0	0000018B	0000002C	00000004	R	.	.	.	.	B	T	.
PropertyUnitBehaviorDescPerception::PropertyUnitBehaviorDescPerception(void)	.text	004D2710	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyUnitBehaviorDescPerception::getName(void)	.text	004D2820	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyUnitBehaviorDescPlayerControlled::getDeclaringClass(void)	.text	004D2860	00000006	00000000	00000000	R	.	.	.	.	.	T	.
PropertyUnitBehaviorDescAutoScan::PropertyUnitBehaviorDescAutoScan(void)	.text	004D2870	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyUnitBehaviorDescAutoScan::asBool(DFCObject *)	.text	004D2980	0000000D	00000004	00000004	R	.	.	.	.	B	T	.
